k,start,end,matches,median_range_logerr,mean_range_logerr,median_close_logerr,mean_close_logerr,inside_daily_range
206,1998-01-14 07:49:16.751000+00:00,2035-09-27 00:12:22.602000+00:00,518,0.2958770967343395,0.31612113558393856,0.30358957515136525,0.3216130886610312,0.02895752895752896
135,1988-05-16 21:31:18.735000+00:00,2026-01-27 13:54:24.586000+00:00,824,0.2960202992497376,0.41039273450060143,0.30295971366779706,0.4148019694856756,0.007281553398058253
215,1999-04-06 17:14:22.415000+00:00,2036-12-17 09:37:28.266000+00:00,494,0.2967056111221895,0.3150089006238161,0.30232097800837343,0.3200776628281905,0.016194331983805668
223,2000-05-08 09:36:40.783000+00:00,2038-01-19 01:59:46.634000+00:00,486,0.29734247903795513,0.33678314294771367,0.3032934508380985,0.34165594833442203,0.00823045267489712
224,2000-06-27 02:39:28.079000+00:00,2038-03-09 19:02:33.930000+00:00,485,0.30081954131120886,0.3364690066478704,0.3063700042571042,0.3412077384533948,0.01443298969072165
221,2000-01-29 23:31:06.191000+00:00,2037-10-11 15:54:12.042000+00:00,467,0.30227686372489343,0.3394110255968025,0.30560659412004193,0.34420888553327367,0.017130620985010708
214,1999-02-16 00:11:35.119000+00:00,2036-10-28 16:34:40.970000+00:00,521,0.302453753378442,0.3129851693211939,0.3069539255232822,0.3180747760660266,0.015355086372360844
211,1998-09-19 21:03:13.231000+00:00,2036-06-01 13:26:19.082000+00:00,482,0.30401023440959696,0.30842512706739517,0.30541625609522055,0.31321123658709443,0.016597510373443983
220,1999-12-11 06:28:18.895000+00:00,2037-08-22 22:51:24.746000+00:00,444,0.3047355392486198,0.3442138622743162,0.31139993660140874,0.3489034368100343,0.02027027027027027
222,2000-03-19 16:33:53.487000+00:00,2037-11-30 08:56:59.338000+00:00,481,0.3068722314822815,0.33584284282576815,0.31260750959264905,0.3410264108254387,0.010395010395010396
209,1998-06-12 10:57:38.639000+00:00,2036-02-23 03:20:44.490000+00:00,473,0.30918168659512874,0.32020679934150137,0.3107815299743923,0.3249676968436332,0.02959830866807611
207,1998-03-05 00:52:04.047000+00:00,2035-11-15 17:15:09.898000+00:00,490,0.30928504129799955,0.31720497146492355,0.3144015361725927,0.32217145808082276,0.026530612244897958
134,1988-03-28 04:28:31.439000+00:00,2025-12-08 20:51:37.290000+00:00,823,0.3115957204239654,0.43205196875038676,0.3144009552141632,0.4366189361062513,0.004860267314702308
225,2000-08-15 19:42:15.375000+00:00,2038-04-28 12:05:21.226000+00:00,464,0.31268535051093765,0.3366908212673715,0.3167221284829305,0.34129358452221825,0.01293103448275862
216,1999-05-26 10:17:09.711000+00:00,2037-02-05 02:40:15.562000+00:00,472,0.3160318391979176,0.33929586471460893,0.3217443440335762,0.34464200009539864,0.012711864406779662
218,1999-09-02 20:22:44.303000+00:00,2037-05-15 12:45:50.154000+00:00,432,0.31810003256291886,0.35954292698350543,0.3218735321378552,0.3645686736528051,0.011574074074074073
219,1999-10-22 13:25:31.599000+00:00,2037-07-04 05:48:37.450000+00:00,441,0.32028614136112776,0.34908007171827515,0.32275115438352037,0.3544281880563725,0.031746031746031744
210,1998-08-01 04:00:25.935000+00:00,2036-04-12 20:23:31.786000+00:00,463,0.3206213972355448,0.3204478452008193,0.32363392721324835,0.3251857022985626,0.017278617710583154
226,2000-10-04 12:45:02.671000+00:00,2038-06-17 05:08:08.522000+00:00,437,0.32347254707331785,0.3492159273739828,0.3248168269308206,0.3541058036694123,0.013729977116704805
217,1999-07-15 03:19:57.007000+00:00,2037-03-26 19:43:02.858000+00:00,458,0.3242807627388069,0.3503872879364227,0.3283911174993285,0.355296242092208,0.008733624454148471
230,2001-04-21 08:56:11.855000+00:00,2039-01-02 01:19:17.706000+00:00,410,0.32442892815021607,0.36020964189500226,0.326803563113935,0.36501543960180105,0.00975609756097561
208,1998-04-23 17:54:51.343000+00:00,2036-01-04 10:17:57.194000+00:00,479,0.32859536195884914,0.3273007969006216,0.33389479135317474,0.33276270073110664,0.012526096033402923
227,2000-11-23 05:47:49.967000+00:00,2038-08-05 22:10:55.818000+00:00,419,0.33506388734106785,0.37322232632742103,0.33975975592974855,0.3784069687534701,0.007159904534606206
132,1987-12-19 18:22:56.847000+00:00,2025-08-31 10:46:02.698000+00:00,779,0.3355240143485857,0.4402568429530219,0.3411218360705455,0.4449413300718698,0.012836970474967908
233,2001-09-17 12:04:33.743000+00:00,2039-05-31 04:27:39.594000+00:00,463,0.3377305431611083,0.3776442139948928,0.34389310730254535,0.3828211402047048,0.012958963282937365
231,2001-06-10 01:58:59.151000+00:00,2039-02-20 18:22:05.002000+00:00,439,0.337833535886361,0.3733879765178139,0.34003463976538245,0.3786540512766132,0.009111617312072893
229,2001-03-02 15:53:24.559000+00:00,2038-11-13 08:16:30.410000+00:00,405,0.33888628292822054,0.3647629624421036,0.3448655459805567,0.36957658835409113,0.014814814814814815
232,2001-07-29 19:01:46.447000+00:00,2039-04-11 11:24:52.298000+00:00,457,0.33967898200616065,0.37010006704323223,0.34749397867657206,0.3748733754831121,0.015317286652078774
131,1987-10-31 01:20:09.551000+00:00,2025-07-12 17:43:15.402000+00:00,780,0.34152330992088614,0.4293187628689997,0.34694709150520525,0.4339937672785335,0.01282051282051282
133,1988-02-07 11:25:44.143000+00:00,2025-10-20 03:48:49.994000+00:00,808,0.3418765001498702,0.4475825007307453,0.3458729718978748,0.4528437782217196,0.008663366336633664
228,2001-01-11 22:50:37.263000+00:00,2038-09-24 15:13:43.114000+00:00,406,0.34257399258353005,0.368413348215219,0.3514457033298487,0.37346619777846074,0.007389162561576354
242,2002-12-08 21:29:39.407000+00:00,2040-08-20 13:52:45.258000+00:00,421,0.34637796614507954,0.41659593303950443,0.35126187744857684,0.4218411524011232,0.009501187648456057
130,1987-09-11 08:17:22.255000+00:00,2025-05-24 00:40:28.106000+00:00,757,0.34858010201678147,0.44332323130977325,0.3548168021672968,0.44882570052437015,0.010568031704095112
129,1987-07-23 15:14:34.959000+00:00,2025-04-04 07:37:40.810000+00:00,795,0.34936332712138674,0.4480185459442335,0.35680697154388125,0.4528391138962668,0.0037735849056603774
128,1987-06-03 22:11:47.663000+00:00,2025-02-13 14:34:53.514000+00:00,798,0.3500664675508589,0.4674288723494219,0.35564165493397637,0.4724103152781923,0.0037593984962406013
236,2002-02-13 15:12:55.631000+00:00,2039-10-27 07:36:01.482000+00:00,413,0.35015500481487866,0.42572137989651565,0.3562229774857998,0.4310109099614322,0.0
235,2001-12-25 22:10:08.335000+00:00,2039-09-07 14:33:14.186000+00:00,438,0.35080903012042863,0.3975109140890063,0.3540776680061396,0.4027051442876181,0.01141552511415525
243,2003-01-27 14:32:26.703000+00:00,2040-10-09 06:55:32.554000+00:00,412,0.35112085950425004,0.4149457822386393,0.3554837007573687,0.42007859969734945,0.009708737864077669
234,2001-11-06 05:07:21.039000+00:00,2039-07-19 21:30:26.890000+00:00,472,0.3511362023522737,0.39047270959810415,0.3559459669915892,0.39591585713609073,0.01694915254237288
126,1987-02-24 12:06:13.071000+00:00,2024-11-06 04:29:18.922000+00:00,819,0.3513822976803628,0.5056262396192995,0.3561543098911873,0.5108964030057095,0.003663003663003663
253,2004-06-07 17:00:19.663000+00:00,2042-02-18 09:23:25.514000+00:00,373,0.35530422121569066,0.46388675863658224,0.3639497272518255,0.4686920428543868,0.010723860589812333
241,2002-10-20 04:26:52.111000+00:00,2040-07-01 20:49:57.962000+00:00,391,0.355974728317427,0.408725833927862,0.3658667815364327,0.4135294096479436,0.0025575447570332483
237,2002-04-04 08:15:42.927000+00:00,2039-12-16 00:38:48.778000+00:00,387,0.35611113481914775,0.4353393036321832,0.3620397512305164,0.4404643684545708,0.002583979328165375
