source_row_group,timestamp_cycle,path_score,local_best_cycle,local_best_score,second_best_cycle,second_best_score
382,371,0.006595568848304449,371,0.006595568848304449,373,0.009002927441562239
383,371,0.00475568553943035,392,0.0025203047838271066,371,0.00475568553943035
384,372,0.00626399963280233,372,0.00626399963280233,390,0.008912137944271639
385,372,0.0017571632266196006,372,0.0017571632266196006,391,0.013669351173961175
386,371,0.010952242047474754,371,0.010952242047474754,392,0.01527105147866528
387,371,0.004361937400050776,371,0.004361937400050776,397,0.017371594814829455
388,371,0.002082347304831437,371,0.002082347304831437,390,0.01135706903121165
389,372,0.002129664648296657,372,0.002129664648296657,394,0.005039929817943321
390,372,0.0014328705424300322,372,0.0014328705424300322,392,0.004452486529959446
391,372,0.002033834340658407,372,0.002033834340658407,373,0.008854377484503033
392,372,0.0035340617952993123,372,0.0035340617952993123,377,0.010608404834703359
393,373,0.0014779318767168905,373,0.0014779318767168905,393,0.0078596011192441
394,373,0.0012099942545688621,373,0.0012099942545688621,394,0.01577807888459928
395,377,0.007777766881523009,377,0.007777766881523009,390,0.012804648887659366
396,382,0.011770342078683507,382,0.011770342078683507,392,0.017438681425875117
397,377,0.006942521109768826,374,0.004056957906842943,377,0.006942521109768826
398,373,0.0012331454378886714,373,0.0012331454378886714,372,0.00888616572385628
399,373,0.0009228118224608574,373,0.0009228118224608574,394,0.009020422956120587
400,392,0.07557665546769547,392,0.07557665546769547,385,0.07823243110658257
401,374,0.0010086586762209566,374,0.0010086586762209566,306,0.0067948621058780976
402,374,0.0009952808064850513,374,0.0009952808064850513,377,0.005192195073656338
403,374,0.0007324707739816339,374,0.0007324707739816339,389,0.006263492401427325
404,375,0.0029310940710161643,375,0.0029310940710161643,385,0.004804954790857051
405,375,0.0010137793834877362,375,0.0010137793834877362,385,0.0028745445467115768
406,374,0.003247335034344286,374,0.003247335034344286,393,0.0199702197775755
407,374,0.003915149216449377,384,0.001943040148029566,374,0.003915149216449377
408,375,0.0008783799219042266,375,0.0008783799219042266,306,0.002095992447483675
409,375,0.0012237292103799596,375,0.0012237292103799596,385,0.002910331663162757
410,375,0.001985784431923218,375,0.001985784431923218,381,0.008935467899941374
411,375,0.0014223659549890684,375,0.0014223659549890684,388,0.009710234252752003
412,371,0.13194947847853844,371,0.13194947847853844,302,0.25870646614552195
413,376,0.0022040649332736115,376,0.0022040649332736115,309,0.008500818934712558
414,376,0.0022108685566204953,376,0.0022108685566204953,309,0.004025409059475317
415,376,0.0016051328532026702,376,0.0016051328532026702,307,0.003562664851097615
416,376,0.0026609274541899873,376,0.0026609274541899873,370,0.009376058205020372
417,375,0.0007838413803653117,375,0.0007838413803653117,385,0.0061860368397092125
418,314,0.006378968251107889,314,0.006378968251107889,389,0.014156800021370139
419,376,0.0004664335570723991,376,0.0004664335570723991,370,0.0029687960488673885
420,376,0.0007953193278531473,376,0.0007953193278531473,313,0.004684297153912386
421,313,0.011542485477356246,313,0.011542485477356246,375,0.04914001604416965
422,377,0.0008795080981942127,377,0.0008795080981942127,382,0.011262785538290162
423,377,0.0015691522255591882,377,0.0015691522255591882,385,0.003199270182539751
424,377,0.002088322274241381,377,0.002088322274241381,374,0.0038175888093367246
425,377,0.0014627844452184337,377,0.0014627844452184337,389,0.005754499729543933
426,378,0.004995408138810168,378,0.004995408138810168,381,0.007860177679272606
427,378,0.0014132308892654507,378,0.0014132308892654507,314,0.004202891953897019
428,377,0.003714169077065517,377,0.003714169077065517,373,0.01139611114805176
429,377,0.001315954329303089,377,0.001315954329303089,372,0.0044059470986430645
430,378,0.00118876575099464,378,0.00118876575099464,379,0.004036338481347014
431,378,0.0010845124410155168,378,0.0010845124410155168,375,0.005754765475687883
432,378,0.0009366949836989887,378,0.0009366949836989887,381,0.004210105981700233
433,379,0.0012170072091644076,379,0.0012170072091644076,380,0.01521255414453477
434,379,0.0009016898225173377,379,0.0009016898225173377,378,0.0051743601287728355
