entry_time,exit_time,direction,leader_close,xau_entry,xau_exit,gross,spread_cost,pnl,equity
2026-04-15 14:00:00+00:00,2026-04-15 14:45:00,-1,695.2666015625,4826.31,4816.31,10.0,1.257214737322144,8.742785262677856,-161.76231966933972
2026-04-15 14:45:00+00:00,2026-04-15 15:30:00,-1,697.02001953125,4816.31,4795.445,20.86500000000069,1.2505625373423725,19.61443746265832,-142.1478822066814
2026-04-15 15:30:00+00:00,2026-04-15 16:15:00,-1,696.9099731445312,4795.445,4806.855,-11.409999999999854,1.2652438327528137,-12.675243832752669,-154.82312603943407
2026-04-15 16:25:00+00:00,2026-04-15 18:10:00,-1,697.3599243164062,4811.24,4797.145,14.094999999999345,1.2866340392732103,12.808365960726135,-142.01476007870792
2026-04-15 18:10:00+00:00,2026-04-15 18:55:00,-1,698.3150024414062,4797.145,4799.9235,-2.7784999999994398,1.2071545748355923,-3.9856545748350323,-146.00041465354295
2026-04-15 18:55:00+00:00,2026-04-15 20:40:00,-1,699.6400146484375,4799.9235,4790.915,9.008499999999913,1.2124871884619588,7.796012811537954,-138.20440184200498
2026-04-15 22:40:00+00:00,2026-04-15 23:25:00,-1,700.18,4801.395,4815.18,-13.784999999999854,1.486114118701019,-15.271114118700874,-153.47551596070585
2026-04-15 23:55:00+00:00,2026-04-16 10:40:00,-1,700.65,4823.56,4808.47,15.090000000000146,1.4115291498523235,13.678470850147821,-139.79704511055803
2026-04-16 10:40:00+00:00,2026-04-16 11:25:00,1,700.12,4808.47,4816.15,7.6799999999993815,1.567233361695004,6.112766638304377,-133.68427847225365
2026-04-16 14:05:00+00:00,2026-04-16 14:50:00,1,699.6400146484375,4799.8,4791.655,-8.145000000000437,1.2567727048233244,-9.401772704823761,-143.08605117707742
2026-04-16 14:50:00+00:00,2026-04-16 15:35:00,-1,700.0700073242188,4791.655,4806.81,-15.155000000000655,1.2454441442981186,-16.400444144298774,-159.4864953213762
2026-04-16 15:35:00+00:00,2026-04-16 17:20:00,-1,701.6799926757812,4806.81,4792.895,13.914999999999964,1.2428803635136174,12.672119636486347,-146.81437568488985
