model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,pnl_per_dollar,desired_notional,equity
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-08-02 10:00:00+00:00,2024-08-05 11:00:00,-1,2463.6215,2386.8685,76.75300000000016,0.7605006215333421,202.95325397996405,500000.0,15422.925026930234,0.03084585005386047,500000.0,954546.9279392312
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-08-02 11:00:00+00:00,2024-08-05 12:00:00,-1,2459.305,2374.575,84.73000000000002,0.7648326789724105,203.30947157835243,500000.0,17070.913799026068,0.034141827598052135,500000.0,971617.8417382572
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-02 11:00:00+00:00,2024-08-05 12:00:00,-1,2459.305,2374.575,84.73000000000002,0.7648326789724105,203.30947157835243,500000.0,17070.913799026068,0.034141827598052135,500000.0,988688.7555372833
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-08-02 12:00:00+00:00,2024-08-05 20:00:00,-1,2472.9415,2410.45,62.49150000000009,0.8041558972289261,202.18836555575618,500000.0,12472.463279614816,0.024944926559229634,500000.0,1001161.2188168981
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-02 12:00:00+00:00,2024-08-05 20:00:00,-1,2472.9415,2410.45,62.49150000000009,0.8041558972289261,202.18836555575618,500000.0,12472.463279614816,0.024944926559229634,500000.0,1013633.6820965129
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-02 13:00:00+00:00,2024-08-05 22:00:00,-1,2469.965,2409.03,60.934999999999945,0.7856191477374396,202.4320182674653,500000.0,12176.160563461932,0.024352321126923863,500000.0,1025809.8426599748
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-08-02 13:00:00+00:00,2024-08-05 22:00:00,-1,2469.965,2409.03,60.934999999999945,0.7856191477374396,202.4320182674653,500000.0,12176.160563461932,0.024352321126923863,500000.0,1037986.0032234368
FXI_60m_divergence_follow_w6_q0.55_all_h8_cost2.0,FXI,2024-08-02 12:00:00+00:00,2024-08-05 23:00:00,-1,2472.9415,2404.9005,68.04099999999971,0.8041558972289261,202.18836555575618,500000.0,13594.50761426641,0.027189015228532818,500000.0,1051580.5108377032
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-08-05 12:00:00+00:00,2024-08-06 00:00:00,-1,2374.575,2415.94,-41.36500000000024,0.8526126056191268,210.5639956623817,500000.0,-8889.509197565747,-0.017779018395131494,500000.0,1042691.0016401375
ZB=F_60m_divergence_fade_w12_q0.85_all_h8_cost2.0,ZB=F,2024-08-05 12:00:00+00:00,2024-08-06 00:00:00,-1,2374.575,2415.94,-41.36500000000024,0.8526126056191268,210.5639956623817,500000.0,-8889.509197565747,-0.017779018395131494,500000.0,1033801.4924425718
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-05 08:00:00+00:00,2024-08-06 08:00:00,-1,2425.0755,2411.1615,13.91399999999976,0.8684484624467061,206.1791478244698,500000.0,2689.7206989128904,0.0053794413978257806,500000.0,1036491.2131414847
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-08-05 11:00:00+00:00,2024-08-06 10:00:00,-1,2386.8685,2412.4685,-25.59999999999991,0.8598373092046941,209.47949164354887,500000.0,-5542.793268503187,-0.011085586537006375,500000.0,1030948.4198729815
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-05 11:00:00+00:00,2024-08-06 10:00:00,-1,2386.8685,2412.4685,-25.59999999999991,0.8598373092046941,209.47949164354887,500000.0,-5542.793268503187,-0.011085586537006375,500000.0,1025405.6266044783
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-08-05 22:00:00+00:00,2024-08-06 10:00:00,1,2409.03,2412.4685,3.438499999999749,0.9508462768315881,207.55241736300502,500000.0,516.3185438056315,0.001032637087611263,500000.0,1025921.945148284
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-08-05 23:00:00+00:00,2024-08-06 11:00:00,1,2404.9005,2410.9985,6.097999999999956,0.863299356337689,207.9088095328684,500000.0,1088.340379084762,0.002176680758169524,500000.0,1027010.2855273688
